<DTYYYYMMDD>,<CLOSE>
2023-07-19,8692.298293223466
2023-07-20,13044.003156063522
2023-07-21,17396.627566011655
2023-07-22,21749.60333370907
2023-07-23,26102.713354743697
2023-07-24,30455.874673803166
2023-07-25,34809.05559377094
2023-07-26,39162.2440032202
2023-07-27,43515.43527439054
2023-07-28,47868.62763902077
2023-07-29,52221.8204214606
2023-07-30,56575.01336354493
2023-07-31,60928.206366629216
2023-08-01,65281.39939302151
2023-08-02,69634.59242831975
2023-08-03,73987.78546702096
2023-08-04,78340.97850702243
2023-08-05,82694.17154752073
2023-08-06,87047.36458820886
2023-08-07,91400.55762896953
2023-08-08,95753.75066975792
2023-08-09,100106.9437105569
2023-08-10,104460.13675135993
2023-08-11,108813.3297921645
2023-08-12,113166.52283296965
2023-08-13,117519.71587377504
2023-08-14,121872.90891458052
2023-08-15,126226.10195538602
2023-08-16,130579.29499619154
2023-08-17,134932.48803699706
